{ Acc x: -0.32 , Acc y: -0.46 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.04 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.29 , Acc y: -0.46 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.04 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.32 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.04 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.48 , Apogeo: 9.50 , Apogeo2: 0.01 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.01 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.01 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.25 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: 0.25 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.49 , Apogeo: 9.51 , Apogeo2: 0.25 , Tiempo seg:  , 14 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.52 , Apogeo2: -0.00 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.31 , Acc y: -0.47 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.00 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.31 , Acc y: -0.46 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.00 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.28 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.05 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.29 , Acc y: -0.43 , Acc z: 9.52 , Apogeo: 9.53 , Apogeo2: -0.05 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.31 , Acc y: -0.47 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.05 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.31 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: 0.01 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.28 , Acc y: -0.44 , Acc z: 9.53 , Apogeo: 9.54 , Apogeo2: 0.01 , Tiempo seg:  , 16 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.32 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.01 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.30 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.08 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.08 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.08 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.07 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.07 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.51 , Apogeo2: -0.07 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.28 , Acc y: -0.46 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: 0.00 , Tiempo seg:  , 17 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.46 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.31 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.32 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.53 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.54 , Apogeo2: 0.00 , Tiempo seg:  , 18 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
